@relation data_normalizado-weka.filters.unsupervised.instance.RemovePercentage-P80.0

@attribute severidade {[1.0],[0.0],[1.1]}
@attribute fase_dia numeric
@attribute condicao_metereologica numeric
@attribute tracado_via numeric
@attribute tipo_veiculo numeric
@attribute idade numeric
@attribute km numeric

@data
[1.1],0.7,0.8,0.8,0.5,0.0571,0.6545
[1.1],0.7,0.8,0.8,0.5,0.2571,0.6545
[0.0],0.7,0.8,0.8,0.5,0.3429,0.7352
[1.0],0.9,0.8,0.8,0.7,0.3429,0.8872
[1.0],0.9,0.8,0.8,0.7,0.4,0.8872
[1.0],0.9,0.7,0.8,0.9,0.0857,0.0021
[1.0],0.9,0.7,0.8,0.9,0.4286,0.0021
[1.0],0.9,0.8,0.8,0.7,0.4286,0.8044
[1.0],0.9,0.5,0.8,0.9,0.4571,0.6404
[1.0],0.7,0.8,0.7,0.7,0.2714,0.5757
[1.0],0.7,0.8,0.7,0.7,0.4143,0.5757
[1.0],0.7,0.8,0.7,0.9,0.1429,0.5757
[1.0],0.9,0.8,0.8,0.9,0.6286,0.6148
[1.0],0.9,0.8,0.8,0.9,0.6714,0.6148
[1.0],0.9,0.8,0.8,0.7,0.2714,0.4222
[1.0],0.9,0.8,0.8,0.7,0.5714,0.4222
[1.0],0.9,0.8,0.8,0.7,0.8143,0.4222
[0.0],0.9,0.8,0.8,0.7,0.1286,0.2507
[0.0],0.9,0.8,0.8,0.7,0.5,0.2507
[0.0],0.9,0.8,0.8,0.7,0.3143,0.2507
[0.0],0.9,0.8,0.8,0.7,0.8571,0.2507
[1.0],0.7,0.8,0.8,0.7,0.1286,0.5787
[1.0],0.7,0.8,0.8,0.7,0.1429,0.5787
[1.0],0.7,0.8,0.8,0.5,0.5714,0.5787
[0.0],0.9,0.8,0.8,0.5,0.5429,0.5456
[1.1],0.9,0.8,0.8,0.7,0.4143,0.2928
[1.0],0.9,0.8,0.8,0.9,0,0.5504
[1.0],0.9,0.8,0.8,0.7,0.4,0.5504
[1.0],0.9,0.8,0.9,0.7,0.1857,0.7111
[1.0],0.7,0.8,0.8,0.7,0.4571,0.4764
[1.0],0.7,0.8,0.8,0.7,0.3714,0.4764
[1.0],0.7,0.8,0.8,0.7,0.2571,0.4764
[1.0],0.7,0.8,0.8,0.7,0.4429,0.4764
