classificacao_acidente,fase_dia,condicao_metereologica,tracado_via,tipo_veiculo,idade,km
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3714","0,6554"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4571","0,6554"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4143","0,6554"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Automóvel,"0,3143","0,8044"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Automóvel,"0,2857","0,8044"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Automóvel,"0,2429","0,8044"
Com Vítimas Feridas,Anoitecer,Céu Claro,Rotatória,Motocicleta,"0,3714","0,6169"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2143","0,663"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Automóvel,"0,5714","0,9639"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Automóvel,"0,5429","0,9639"
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Automóvel,"0,1","0,1995"
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Automóvel,"0,0286","0,1995"
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Automóvel,"0,0286","0,1995"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0857","0,5245"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1286","0,5245"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Automóvel,"0,0714","0,9871"
Sem Vítimas,Plena Noite,Chuva,Reta,Automóvel,"0,5429","0,1363"
Sem Vítimas,Plena Noite,Chuva,Reta,Automóvel,"0,5571","0,1363"
Com Vítimas Feridas,Pleno dia,Sol,Curva,Motocicleta,"0,3571","0,6148"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,2857","0,1754"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Caminhonete,"0,4571","0,0129"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Caminhonete,0,"0,0129"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Caminhonete,"0,3429","0,0129"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,1429","0,5817"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Motocicleta,"0,3","0,5817"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,5857","0,483"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,1571","0,483"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,8429","0,483"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,6571","0,483"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,5143","0,6148"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,6","0,6148"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Automóvel,"0,0714","0,6133"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,6","0,5727"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,2857","0,5727"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,1286","0,5727"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Automóvel,"0,1143","0,4192"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Automóvel,"0,1143","0,4192"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Caminhonete,"0,6429","0,4192"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Caminhonete,"0,1","0,4192"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Caminhonete,"0,0714","0,4192"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Caminhonete,"0,1","0,4192"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4429","0,3024"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4857","0,3024"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0429","0,3024"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0429","0,3024"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,2714","0,8104"
Com Vítimas Feridas,Pleno dia,Céu Claro,Interseção de Vias,Motocicleta,"0,0571","0,6274"
Com Vítimas Feridas,Pleno dia,Céu Claro,Interseção de Vias,Motocicleta,"0,6857","0,6274"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Automóvel,"0,4","0,5245"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Utilitário,"0,6","0,8203"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Utilitário,"0,3","0,8203"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Utilitário,"0,3286","0,8203"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,1571","0,7713"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,5","0,7713"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1429","0,8417"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4429","0,8417"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Motocicleta,"0,1429","0,6058"
Com Vítimas Feridas,Anoitecer,Garoa/Chuvisco,Declive,Automóvel,"0,1429","0,5998"
Com Vítimas Feridas,Anoitecer,Garoa/Chuvisco,Declive,Automóvel,"0,4429","0,5998"
Com Vítimas Feridas,Anoitecer,Garoa/Chuvisco,Declive,Motocicleta,"0,0857","0,5998"
Sem Vítimas,Plena Noite,Céu Claro,Ponte,Automóvel,"0,4143","0,9753"
Sem Vítimas,Plena Noite,Céu Claro,Ponte,Camioneta,"0,5286","0,9753"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Motocicleta,"0,2857","0,6268"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Motocicleta,"0,3286","0,0506"
Com Vítimas Feridas,Plena Noite,Vento,Em Obras,Motocicleta,"0,4143","0,5727"
Com Vítimas Feridas,Plena Noite,Vento,Em Obras,Motocicleta,"0,3857","0,5727"
Com Vítimas Feridas,Amanhecer,Céu Claro,Reta,Motocicleta,"0,1714","0,6208"
Com Vítimas Feridas,Amanhecer,Céu Claro,Reta,Motocicleta,"0,2571","0,6208"
Com Vítimas Feridas,Amanhecer,Céu Claro,Reta,Automóvel,"0,1571","0,6208"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3143","0,4583"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,1429","0,6178"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Motocicleta,"0,1714","0,6178"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2429","0,6136"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4429","0,6136"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,2286","0,6136"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3143","0,7872"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,6571","0,7872"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,4286","0,7502"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,5429","0,7502"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,8143","0,7502"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,8143","0,5486"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,7","0,5486"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,1286","0,8044"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Automóvel,"0,2857","0,811"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1","0,4944"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0857","0,4944"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1286","0,4944"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4","0,4944"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4","0,4944"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Automóvel,"0,1714","0,0671"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Automóvel,"0,1429","0,0671"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Automóvel,"0,1571","0,0671"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,3","0,6921"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,2429","0,6921"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,1857","0,5847"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,3429","0,5847"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,0429","0,5847"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,1571","0,5847"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Camioneta,"0,1714","0,5847"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Automóvel,"0,2429","0,994"
Sem Vítimas,Pleno dia,Sol,Declive,Caminhonete,"0,4429","0,5974"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Bicicleta,"0,3429","0,5727"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2571","0,5727"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Automóvel,"0,2286","0,5907"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Caminhonete,"0,4","0,5907"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Automóvel,"0,2571","0,5907"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Automóvel,"0,1714","0,5907"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Automóvel,"0,2714","0,5907"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1571","0,5757"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Motocicleta,"0,2","0,1595"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Motocicleta,"0,2857","0,5811"
Com Vítimas Feridas,Amanhecer,Céu Claro,Rotatória,Caminhonete,"0,5714","0,6299"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Motocicleta,"0,1571","0,6148"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,7286","0,3009"
Com Vítimas Fatais,Pleno dia,Céu Claro,Curva,Caminhonete,"0,2857","0,2236"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Motocicleta,"0,0286","0,6208"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Motocicleta,"0,0286","0,6208"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhonete,"0,3857","0,6208"
Com Vítimas Feridas,Amanhecer,Céu Claro,Reta,Motocicleta,"0,6429","0,5964"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,3429","0,7743"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,5857","0,7743"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,5857","0,8074"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,5286","0,8074"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Automóvel,"0,7714","0,7328"
Com Vítimas Feridas,Plena Noite,Vento,Curva,Automóvel,"0,2","0,8098"
Com Vítimas Feridas,Plena Noite,Vento,Curva,Automóvel,"0,1714","0,8098"
Com Vítimas Fatais,Plena Noite,Céu Claro,Reta,Automóvel,"0,5143","0,133"
Com Vítimas Fatais,Plena Noite,Céu Claro,Reta,Automóvel,"0,5143","0,133"
Com Vítimas Fatais,Plena Noite,Céu Claro,Reta,Caminhonete,"0,2857","0,133"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1","0,6205"
Sem Vítimas,Pleno dia,Sol,Rotatória,Automóvel,"0,1286","0,1574"
Sem Vítimas,Pleno dia,Sol,Rotatória,Automóvel,"0,4857","0,1574"
Sem Vítimas,Pleno dia,Sol,Rotatória,Automóvel,"0,8857","0,1574"
Sem Vítimas,Pleno dia,Sol,Rotatória,Automóvel,"0,5286","0,1574"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,7","0,4583"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,8429","0,4583"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3","0,4583"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,6857","0,4583"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,6714","0,4583"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Bicicleta,"0,6429","0,6223"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Motocicleta,"0,1143","0,5998"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Motocicleta,"0,3571","0,6148"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Caminhonete,"0,5","0,5516"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Caminhonete,"0,5","0,5516"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Automóvel,"0,3143","0,5516"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Automóvel,"0,3429","0,5516"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,2857","0,4162"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,5286","0,4162"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,3286","0,4162"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,6429","0,4162"
Sem Vítimas,Pleno dia,Sol,Reta,Automóvel,"0,3286","0,3079"
Sem Vítimas,Pleno dia,Sol,Reta,Automóvel,"0,3571","0,3079"
Sem Vítimas,Pleno dia,Sol,Reta,Automóvel,"0,3143","0,3079"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,4286","0,6299"
Com Vítimas Fatais,Pleno dia,Nevoeiro/Neblina,Reta,Automóvel,"0,4571","0,235"
Com Vítimas Fatais,Pleno dia,Nevoeiro/Neblina,Reta,Automóvel,"0,1857","0,235"
Com Vítimas Fatais,Pleno dia,Nevoeiro/Neblina,Reta,Automóvel,"0,4714","0,235"
Com Vítimas Fatais,Pleno dia,Nevoeiro/Neblina,Reta,Automóvel,"0,5714","0,235"
Com Vítimas Fatais,Pleno dia,Nevoeiro/Neblina,Reta,Automóvel,"0,5714","0,235"
Com Vítimas Feridas,Pleno dia,Chuva,Curva,Automóvel,"0,3286","0,5847"
Com Vítimas Feridas,Pleno dia,Chuva,Curva,Automóvel,"0,2","0,5847"
Com Vítimas Feridas,Pleno dia,Chuva,Curva,Automóvel,"0,2143","0,5847"
Com Vítimas Feridas,Pleno dia,Chuva,Curva,Automóvel,"0,2","0,9639"
Com Vítimas Feridas,Pleno dia,Chuva,Curva,Automóvel,"0,0714","0,9639"
Com Vítimas Feridas,Pleno dia,Chuva,Curva,Automóvel,"0,1571","0,9639"
Com Vítimas Feridas,Pleno dia,Chuva,Ponte,Automóvel,"0,1429","0,9007"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Motoneta,"0,1","0,6103"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Motoneta,"0,0714","0,6103"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Utilitário,"0,4","0,6178"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Utilitário,"0,2714","0,6178"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,0857","0,6058"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2143","0,6058"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3429","0,1393"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2286","0,1393"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,2571","0,6178"
Com Vítimas Feridas,Pleno dia,Sol,Interseção de Vias,Automóvel,"0,3143","0,6013"
Com Vítimas Feridas,Pleno dia,Sol,Interseção de Vias,Motocicleta,"0,7","0,6013"
Com Vítimas Feridas,Pleno dia,Céu Claro,Interseção de Vias,Automóvel,"0,1857","0,1965"
Sem Vítimas,Anoitecer,Céu Claro,Reta,Caminhonete,"0,2857","0,5817"
Sem Vítimas,Anoitecer,Céu Claro,Reta,Automóvel,"0,3","0,5817"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3143","0,5576"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3714","0,5576"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,2857","0,5576"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,5429","0,5576"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Motocicleta,"0,2714","0,5576"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Motocicleta,"0,1714","0,5576"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3714","0,2808"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3714","0,2808"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3429","0,2808"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,2857","0,2808"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,6143","0,2808"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,5429","0,2808"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,8571","0,2808"
Com Vítimas Feridas,Plena Noite,Vento,Reta,Motocicleta,"0,0714","0,8556"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Motocicleta,"0,4857","0,2654"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0571","0,2416"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4","0,2416"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3857","0,2416"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,7286","0,8766"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,1286","0,8766"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,0,"0,8766"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,1","0,8766"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,2","0,8766"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,3714","0,8766"
Com Vítimas Feridas,Plena Noite,Céu Claro,Aclive,Automóvel,"0,1571","0,5269"
Com Vítimas Feridas,Plena Noite,Céu Claro,Aclive,Automóvel,"0,2714","0,5269"
Com Vítimas Feridas,Plena Noite,Céu Claro,Aclive,Automóvel,"0,1714","0,5269"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Automóvel,"0,0429","0,5667"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,1143","0,5787"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Caminhonete,"0,2857","0,034"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Motocicleta,"0,7429","0,6142"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Automóvel,"0,5429","0,5787"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Automóvel,"0,6857","0,5787"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Caminhonete,"0,4571","0,1574"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Caminhonete,"0,3286","0,1574"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Camioneta,"0,3429","0,6205"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Motocicleta,"0,4571","0,6205"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Motocicleta,"0,5714","0,6205"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,1","0,6205"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,1857","0,6088"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,0571","0,6088"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4429","0,6088"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1857","0,6178"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,5","0,6178"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,2714","0,6178"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,1571","0,6178"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,8143","0,666"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3429","0,666"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3571","0,666"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3571","0,666"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Automóvel,"0,2143","0,1478"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Automóvel,"0,4","0,1478"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Ônibus,"0,5","0,1478"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Ônibus,"0,1429","0,1478"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Ônibus,"0,3571","0,1478"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Ônibus,"0,1857","0,1478"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2286","0,2119"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,5714","0,6073"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3571","0,6509"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1429","0,6509"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Automóvel,"0,6429","0,6166"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Automóvel,"0,2714","0,6166"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,7857","0,0355"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,3857","0,0355"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Motocicleta,"0,0429","0,6088"
Com Vítimas Feridas,Anoitecer,Céu Claro,Reta,Automóvel,"0,1429","0,5787"
Com Vítimas Feridas,Anoitecer,Céu Claro,Reta,Automóvel,"0,2286","0,5787"
Com Vítimas Feridas,Anoitecer,Céu Claro,Reta,Automóvel,"0,2714","0,5787"
Com Vítimas Feridas,Anoitecer,Céu Claro,Reta,Automóvel,"0,5","0,5787"
Com Vítimas Feridas,Anoitecer,Céu Claro,Reta,Automóvel,"0,5143","0,5787"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Automóvel,"0,1","0,789"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Camioneta,"0,3143","0,789"
Com Vítimas Feridas,Plena Noite,Ignorado,Reta,Automóvel,"0,5143","0,1544"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,5714","0,6028"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3","0,6028"
Com Vítimas Fatais,Pleno dia,Céu Claro,Curva,Automóvel,"0,7","0,2883"
Com Vítimas Fatais,Pleno dia,Céu Claro,Curva,Automóvel,"0,8","0,2883"
Com Vítimas Fatais,Pleno dia,Céu Claro,Curva,Automóvel,"0,6857","0,2883"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motoneta,"0,2714","0,6148"
Com Vítimas Feridas,Pleno dia,Céu Claro,Desvio Temporário,Automóvel,"0,6714","0,5937"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0857","0,5245"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0571","0,5245"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0571","0,5245"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3286","0,5245"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0143","0,5245"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,1429","0,5967"
Com Vítimas Feridas,Pleno dia,Chuva,Declive,Automóvel,"0,1857","0,6509"
Com Vítimas Feridas,Pleno dia,Chuva,Declive,Automóvel,"0,5","0,6509"
Com Vítimas Feridas,Pleno dia,Chuva,Declive,Automóvel,"0,6","0,6509"
Com Vítimas Feridas,Pleno dia,Chuva,Declive,Automóvel,"0,6286","0,6509"
Com Vítimas Feridas,Pleno dia,Chuva,Declive,Automóvel,"0,9429","0,6509"
Com Vítimas Feridas,Anoitecer,Céu Claro,Reta,Motoneta,"0,1714","0,0852"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Automóvel,"0,3","0,4815"
Sem Vítimas,Pleno dia,Sol,Reta,Automóvel,"0,4714","0,6148"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3571","0,5998"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,1429","0,5998"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,1286","0,5998"
Sem Vítimas,Plena Noite,Céu Claro,Interseção de Vias,Caminhonete,"0,5143","0,6058"
Sem Vítimas,Pleno dia,Céu Claro,Desvio Temporário,Automóvel,"0,0571","0,604"
Com Vítimas Feridas,Pleno dia,Céu Claro,Rotatória,Motocicleta,"0,1286","0,6599"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2","0,4806"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1857","0,4806"
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Motocicleta,"0,4143","0,6049"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Automóvel,"0,2143","0,5336"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Automóvel,"0,0857","0,5336"
Com Vítimas Feridas,Pleno dia,Nublado,Declive,Automóvel,"0,2","0,2085"
Com Vítimas Feridas,Pleno dia,Nublado,Declive,Automóvel,"0,5143","0,2085"
Com Vítimas Feridas,Pleno dia,Nublado,Declive,Automóvel,"0,4429","0,2085"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,0286","0,6633"
Com Vítimas Fatais,Pleno dia,Céu Claro,Aclive,Motocicleta,"0,3286","0,4598"
Com Vítimas Fatais,Pleno dia,Céu Claro,Aclive,Automóvel,"0,7857","0,4598"
Com Vítimas Fatais,Pleno dia,Nublado,Reta,Micro-ônibus,"0,4143","0,1077"
Com Vítimas Fatais,Pleno dia,Nublado,Reta,Micro-ônibus,"0,4286","0,1077"
