classificacao_acidente,fase_dia,condicao_metereologica,tracado_via,tipo_veiculo,idade,km
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,3286","0,2206"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,4143","0,6088"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão,"0,3429","0,2191"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão,"0,3143","0,2191"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão,"0,4","0,2191"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão,"0,5571","0,2191"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão,"0,5143","0,2191"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Caminhão,"0,3143","0,6277"
Sem Vítimas,Plena Noite,Garoa/Chuvisco,Interseção de Vias,Caminhão,"0,2571","0,0358"
Sem Vítimas,Plena Noite,Nublado,Reta,Caminhão-trator,"0,5143","0,6419"
Sem Vítimas,Plena Noite,Nublado,Reta,Caminhão,"0,4","0,6419"
Sem Vítimas,Amanhecer,Céu Claro,Curva,Caminhão-trator,"0,3714","0,0605"
Sem Vítimas,Amanhecer,Céu Claro,Reta,Caminhão-trator,"0,3857","0,6473"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,4857","0,1261"
Sem Vítimas,Pleno dia,Sol,Aclive,Caminhão-trator,"0,5571","0,6569"
Sem Vítimas,Pleno dia,Sol,Reta,Caminhão-trator,"0,4286","0,1243"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Caminhão,"0,2857","0,6145"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão,"0,2857","0,9031"
Com Vítimas Feridas,Plena Noite,Vento,Retorno Regulamentado,Caminhão-trator,"0,2429","0,6479"
Sem Vítimas,Anoitecer,Céu Claro,Reta,Caminhão-trator,"0,3","0,9193"
Com Vítimas Feridas,Anoitecer,Céu Claro,Curva,Caminhão-trator,"0,2","0,6208"
Com Vítimas Feridas,Plena Noite,Chuva,Reta,Caminhão-trator,"0,2857","0,4342"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão-trator,"0,3286","0,6693"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Caminhão,"0,1143","0,6028"
Com Vítimas Feridas,Amanhecer,Céu Claro,Declive,Caminhão-trator,"0,4571","0,0761"
Com Vítimas Feridas,Pleno dia,Céu Claro,Interseção de Vias,Caminhão,"0,4143","0,6091"
Com Vítimas Feridas,Amanhecer,Nublado,Reta,Caminhão-trator,"0,4429","0,9774"
Com Vítimas Fatais,Pleno dia,Sol,Reta,Caminhão-trator,"0,3286","0,2146"
Com Vítimas Fatais,Pleno dia,Sol,Reta,Caminhão-trator,"0,5143","0,2146"
Sem Vítimas,Anoitecer,Céu Claro,Curva,Caminhão-trator,"0,3143","0,5697"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão,"0,4143","0,7785"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Caminhão,"0,2714","0,1622"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,1571","0,1622"
Com Vítimas Feridas,Amanhecer,Nublado,Reta,Caminhão-trator,"0,3286","0,7292"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Caminhão-trator,"0,2143","0,5967"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Caminhão-trator,"0,2714","0,5967"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Caminhão,"0,2857","0,5967"
Sem Vítimas,Plena Noite,Nublado,Rotatória,Caminhão-trator,"0,4429","0,8676"
Sem Vítimas,Plena Noite,Nublado,Rotatória,Caminhão,"0,6","0,8676"
Sem Vítimas,Plena Noite,Nublado,Rotatória,Caminhão,"0,0143","0,8676"
Sem Vítimas,Plena Noite,Nublado,Rotatória,Caminhão,"0,4714","0,8676"
Sem Vítimas,Plena Noite,Nublado,Rotatória,Caminhão,"0,2571","0,8676"
Sem Vítimas,Plena Noite,Nublado,Rotatória,Caminhão,"0,2857","0,8676"
Sem Vítimas,Plena Noite,Nublado,Rotatória,Caminhão,"0,2571","0,8676"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,3571","0,2146"
Com Vítimas Feridas,Pleno dia,Nublado,Interseção de Vias,Caminhão,"0,2286","0,4734"
Com Vítimas Feridas,Pleno dia,Sol,Declive,Caminhão,0,"0,5937"
Com Vítimas Feridas,Pleno dia,Sol,Declive,Caminhão,"0,4714","0,5937"
Sem Vítimas,Pleno dia,Nublado,Em Obras,Caminhão-trator,"0,1571","0,8134"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Caminhão-trator,"0,7143","0,6028"
Sem Vítimas,Amanhecer,Garoa/Chuvisco,Rotatória,Caminhão-trator,"0,1857","0,1514"
Com Vítimas Feridas,Plena Noite,Garoa/Chuvisco,Interseção de Vias,Caminhão,"0,4143","0,0346"
Com Vítimas Fatais,Amanhecer,Nublado,Reta,Caminhão-trator,"0,2","0,1243"
Com Vítimas Fatais,Amanhecer,Nublado,Reta,Caminhão-trator,"0,3143","0,1243"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Caminhão,"0,6714","0,0159"
Com Vítimas Feridas,Plena Noite,Nublado,Reta,Caminhão-trator,"0,2286","0,4011"
Sem Vítimas,Amanhecer,Céu Claro,Reta,Caminhão,"0,5286","0,5426"
Sem Vítimas,Plena Noite,Chuva,Reta,Caminhão-trator,"0,2857","0,6539"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão,"0,1","0,1273"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,6429","0,6299"
Sem Vítimas,Plena Noite,Céu Claro,Ponte,Caminhão,"0,2714","0,022"
Com Vítimas Feridas,Plena Noite,Garoa/Chuvisco,Reta,Caminhão-trator,"0,4857","0,5766"
Com Vítimas Feridas,Plena Noite,Nublado,Reta,Caminhão-trator,"0,3714","0,5757"
Sem Vítimas,Pleno dia,Sol,Viaduto,Semireboque,"0,4571","0,5636"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1","0,5967"
